"구급차 막아선 택시기사 ""사고 수습하라""… ""환자 사망"" 국민청원","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
부산 ‘환각질주 포르쉐’ 운전자 구속될까… 18일 영장심사,"대마초를 피운 뒤 포르쉐 차량을 몰아 7중 추돌사고와 2차례 뺑소니 사고를 낸 운전자에 대한 구속 여부가 오는 18일 결정된다.17일 부산경찰청에 따르면 지난 16일 오후 해운대경찰서가 포르쉐 차량 운전자인 A씨에 대해 사전구속영장을 신청했다.	 검찰은 같은 날 부산지법 동부지원에 사전구속영장을 청구했다.	경찰은 A씨에게 ‘윤창호법’으로 불리는 특정범죄가중처벌등에관한법률 위반, 특정범죄가중처벌등에관한법률, 도로교통법, 마약류관리에관한법률 위반 등의 혐의를 적용했다.	A씨가 일으킨 사고로 6명이 중경상을 입었다.	A씨의 구속 전 피의자 심문은 오는 18일 오전 10시30분 진행될 예정이다."
"조두순은 12년인데… 여성 성폭행한 美 남성은 ""900년형""","미국에서 15년 동안 9명의 여성을 상대로 범행을 저지른 연쇄 성폭행범이 900년에 가까운 징역형을 선고받았다.	 지난 19일 미국 CNN은 '노칼 강간범'으로 알려진 로이 찰스 월러가 18일 납치·강간 등의 혐의로 재판에 넘겨진 뒤 현지 법원으로부터 징역 897년을 선고받았다고 전했다.	 지난달 배심원들은 그가 1991년부터 2006년까지 9명의 여성을 상대로 저지른 46건의 성범죄에 대해 유죄를 선고했고 9명 여성 모두 그의 수십년 동안의 범행을 증언한 것으로 알려졌다.	경찰은 매체를 통해 월러가 북부 캘리포니아주 6개 카운티에서 여성들을 폭행했고 피해자들의 집에 침입해 그들을 묶고 반복적으로 성범죄를 저질렀다고 밝혔다.	 그는 여성들을 ATM기로 데려가 돈을 빼앗거나 피해자들의 집에서 금품을 갈취하기도 했다.2006년 경찰은 연쇄 성폭행으로 사건을 인지하고 수사하던 중 6건의 범죄에서 월러의 DNA 증거를 채취했다.	 하지만 그의 DNA가 범죄자 데이터베이스에 등록돼 있지 않아 용의자를 특정하는 데 어려움을 겪었다.	범죄 현장에 발견된 DNA가 2018년 9월 DNA에 특성화된 수사 기술을 발명하는 데 사용됐고 이는 용의자를 밝혀내는 돌파구가 됐다.	 수사관들은 최첨단 DNA 수사 기법을 이용해 월러 친척들의 명단을 추적했고 용의자 특정의 범위를 좁힐 수 있었다.	 이 수사기법은 42년 만에 체포된 미국 희대의 연쇄 살인범인 '골든스테이트 킬러'를 검거하는 데 결정적인 역할을 했던 것과 비슷한 것으로 알려졌다.	월러 측 변호인은 ""사건 현장과 피해자에게 발견된 그의 DNA가 너무 많아 범죄 사실을 숨기기 어려울 것으로 보인다""고 말했다.	제임스 아겔스 고등법원 판사는 ""월러가 사회에 심각한 위험을 가했고 재판 중 명백한 허위 증언을 했다""며 최고 형량을 선고해달라는 검사의 요청을 수용해 징역 897년형을 선고했다."
문 대통령 부부 추석 인사 “견뎌주신 국민들께 보답할 것”,"문재인 대통령이 부인 김정숙 여사와 함께 국민에게 영상 추석 인사를 30일 전했다.	 문문 대통령은 “평범하고 소중한 날이 돌아올 것”이라며 “방역과 경제 모두 성공하겠다”고 밝혔다.	영상은 청와대 경내에서 대통령 부부가 한복을 입고 서서 국민에게 메시지를 전하는 형식으로 촬여오댔다.	문 대통령은 “어려운 시절에 추석을 맞았다”며 “저희 부부가 함께 국민 한 분 한 분의 안부를 여쭌다”고 인사를 시작했다.	대통령은 “많은 분들이 만남을 뒤로 미루게 되었지만 평범하고 소중한 날들이 우리 곁에 꼭 돌아올 것”이라며 “예년만 못하더라도 내일은 오늘보다 나으리라는 마음으로 행복한 추석을 보내기 바란다”고 말했다.	또 “각자의 자리에서 불편을 참아주셔서 감사하고, 덕분에 우리 모두 조금씩 일상을 찾아가고 있다”며 코로나19 정국을 언급했다.	 이어 희생자에 대한 애도를 표했다.	대통령은 “건강을 되찾지 못하고 우리 곁을 떠난 분들이 안타깝다”며 “지켜드리지 못한 분들과 유가족, 병마와 싸우고 계신 분들에게 위로의 마음을 전한다”고 말했다.	생활방역에 충실한 국민과 의료 최일선 종사자 및 의료진에 감사 인사도 전했다.	 대통령은 “이웃을 먼저 생각하는 국민 한 분 한 분, 국민 건강을 위해 헌신하고 계신 의료진과 방역 요원, 변함없이 명절을 지켜주고 계신 경찰, 소방대원들께 깊이 감사드린다”고 밝혔다.	문 대통령은 “이제 우리는 '이웃'의 안전이 '나'의 안전이라는 것을 확인하며 새로운 시대를 준비하고 있다”며 “정부는 방역에 성공하고 경제를 지켜, 어려움을 견뎌주신 국민들께 반드시 보답할 것”이라 말을 맺었다.	김정숙 여사는 “지금 어디에 계시든지, 우리의 마음이 함께하고 있는 한 다음 명절에는 기쁨이 두 배가 될 것”이라며 “한가위만큼은 몸과 마음, 모두 평안하시고 하루하루 건강과 희망을 키워주시기를 바란다”고 인사했다."
"""또"" 경인아라뱃길서 여성 시신 발견… 행방 쫓던 A씨로 추정","경찰은 이날 발견된 여성을 A씨로 추정 중이다.	 경찰 관계자는 ""오전에 시신을 발견했고 현재 조사하고 있다""며 ""자세한 건 밝힐 수 없다""고 말했다.	 사건 현장에서 A씨가 남긴 유서는 발견되지 않은 것으로 전해졌다."
"이인영 ""전단살포, 법적 제재 필요… 지역주민 안전 위협""","이인영 통일부 장관이 남북관계발전법을 통해 대북전단 살포를 제한하는 방안을 언급했다.	 대북전단 살포로 군사적 긴장이 발생하고 남북관계가 악화될 것이라는 우려에서다.	 이 장관은 3일 국회 외교통일위원회 전체회의에서 ""대북전단 살포 행위를 하는 분들은 표현의 자유를 주장할 수 있다""면서도 ""하지만 살포 행위가 이뤄지는 지역 주민의 재산, 생명, 안전이 직접적으로 위협되고 긴장이 유발되며 위협을 넘어 남북관계에 장애가 조성되고 있으므로 법적으로 다뤄야 할 필요성이 크다""고 말했다.	이어 ""제가 취임하기 전 이미  긴장 상황이 최고로 고조됐고 그것이 빌미가 돼 부분적으로 군사적 행동도 등장했다""며 ""2014년 원점 포격 사례도 있었지만 앞으로도 긴장이 유발될 가능성이 있다""고 설명했다.	그는 ""현재 교류협력법, 경찰관직무법, 항공관련법에 대북전단 살포를 제지할 법적 근거가 있지만 교류협력법은 촉진에 목적이 있고  반입이나 반출 절차 문제로 제한될 수 있다""며 ""남북관계 발전법을 통해 포괄적인 제재가 보완되고 완성될 필요가 있다""고 전했다."
"가평군 보건소 치매안심센터, 찾아가는 지문 등 사전등록 실시","가평=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"한전, 전남경찰청에 사회적약자 후원금 2000만원 전달","한국전력은 22일 전남 나주 빛가람혁신도시 본사에서 전남지방경찰청에 후원금 2000만원을 전달했다.	김종갑 한전 사장이 김재규 전남지방경찰청장에게 직접 전달했으며, 후원금은 아동학대·학교폭력 등 범죄 피해자, 저소득 다문화자녀, 정신질환자 등 사회적 약자들에게 장학금과 생계비, 치료기금 등으로 지원될 예정이다.	김종갑 사장은 전달식에서 ""포용적 사회 안전망을 튼튼하게 구축하는 과정에서 한전 역시 지역사회를 위한 나눔 실천 방안을 지속적으로 강구하겠다""고 말했다.	한편 한전은 본사 이전과 함께 지역과 함께하는 맞춤형 사회공헌활동의 일환으로 경찰청의 추천을 받아 소외계층 청소년과 대학생 대상 장학사업, 치매노인 대상 배회감지기 보급 사업 등을 전개하고 있다."
"사회적 거리두기 2.5단계 연장에 ""무게""… 확산세 여전(종합)","국내 신종 코로나바이러스 감염증 바이러스가 병원과 사회복지시설, 요양원, 사업설명회 등 고령자 밀집 공간을 중심으로 여전히 확산되고 있다.	 이에 따라 사회적 거리두기 2.5단계 연장 가능성이 더 커졌다.12일 질병관리청 중앙방역대책본부에 따르면 이날 낮 12시 기준 국내 주요 집단발생 사례는 ▲8·15 서울 도심 집회 ▲서대문구 세브란스병원 ▲영등포구 일련정종 서울포교소 ▲송파구 쿠팡 물류센터 ▲강남구 K보건산업 ▲경기 이천 주간보호센터 ▲대전 건강식품설명회 ▲충남 금산군 섬김요양원 ▲경북 칠곡군 산양삼 사업설명회 등이다.8·15 서울 도심 집회 관련 누적 확진자는 전일 낮 12시 보다 1명 추가돼 565명을 기록했다.	 이들을 감염경로별로 분류하면 집회 관련자 212명, 추가 전파 301명, 경찰 8명, 조사중 44명이다.	서대문구 세브란스병원에서는 접촉자 조사에서 4명이 추가돼 누적 확진자는 총 23명이다.	 전날 의료진으로 집계된 근무자 1명이 기타 직원으로 재분류되면서 확진자는 의료진 1명, 기타직원 15명, 환자 1명, 가족 및 간병인 6명으로 나타났다.	 영등포구 일련정종에서는 교인 1명이 추가 확진돼 누적 23명을 기록했다.	 송파구 쿠팡 물류센터에서도 추가 전파 3명이 확인돼 누적 확진자가 19명으로 늘었다.	강남구 K보건산업 관련해서는 지난 8일 첫 확진자가 발생한 이후 접촉자 조사를 통해 9명이 추가로 확진되면서 누적 확진자는 총 10명이다.	경기 이천에서는 주간보호센터에서 접촉자 4명이 추가 확진됐다.	 이로써 누적 확진자는 총 18명이다.	대전 건강식품설명회 관련 3명이 추가로 확진돼 누적 확진자는 총 54명이다.	 구분별로는 대전 건강식품설명회 관련 18명, 대전 동구 계룡식당 관련 20명, 대전 중구 웰빙사우나 관련 8명, 충남 아산 외환거래설명회 8명이다.	충남 금산군 섬김요양원에서는 접촉자 조사에서 1명이 추가 확진됐다.	 현재까지 누적 확진자는 10명으로 요양보호사 3명, 입소자 6명, 요양원 직원 가족 1명 등이다.	지난 2일 진행됐던 경북 칠곡군 산양삼 사업설명회에서는 8일 첫 확진자가 발생한 후 관련 확진자 7명이 늘어 누적 확진자가 8명으로 증가했다.	권준욱 방대본 부본부장은 이날 정례 브리핑에서 “지난 8월 하순 한때 400명대를 넘어서서 급증하던 확산세는 일단은 꺾인 것으로 판단된다”면서도 “코로나19 특성상 무증상 감염 비율이 높은 점을 고려하면 어디에서 누구나 언제든 감염될 수 있는 상황”이라고 우려했다.	 이어 “일상에서 ‘3밀’의 환경을 만나게 되면 코로나19에 감염될 가능성이 있다는 점을 항상 기억해달라”고 당부했다."
"[속보] 경찰 ""이천 물류창고 화재 참사 원인 ""산소용접"""""," 경찰 ""이천 물류창고 화재 참사 원인 '산소용접'""     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""시위"" 앞에 또 작아지는 트럼프… 재집권 ""빨간불"" 켜졌다","비무장 흑인에 대한 총격사태로 촉발된 인종차별 반대시위가 전국으로 점차 확대되면서 ‘인종갈등’이 도널드 트럼프 재선 캠프의 ‘흑인표 구애 전략’의 장애물로 떠오르고 있다.	  폭력 시위에 대한 트럼프 대통령과 조 바이든 전 부통령의 상반된 대응도 인종 논란을 정치쟁점의 중심으로 이끌 전망이다.	  25일 AP통신 등에 따르면 토니 에버스 위스콘신 주지사는 이날 비상사태를 선포하고 사태 진원지인 커노샤에 배치된 주방위군 병력을 기존 125명에서 250명으로 두배 증원했다.	에버스 주지사는 비상사태를 선포하면서 ""우리는 조직적 인종차별과 불의가 계속되는 것을 허락할 수 없지만, 파괴의 길로 계속 빠져들어서도 안 된다""고 말했다.	 23일 커노샤에서 흑인 남성 제이컵 블레이크가 경찰이 쏜 여러 발의 총탄에 맞아 쓰러진 영상이 온라인으로 확산하면서 이틀 밤 연속으로 격렬한 시위가 벌어졌다.	 당시 그가 쓰러진 차 안에 어린 아들 3명이 타고 있었다는 점이 밝혀지며 민심이 더욱 악화한 것이다.	 이틀간의 폭력 시위로 수십개 건물이 불에 타고, 다수 점포가 파괴된 것으로 집계됐다.	 이날 블레이크의 부친이 지역 언론과의 인터뷰에서 총격 피해자인 아들의 하반신이 마비됐다고 밝혀 시위대의 분노는 더욱 커질 것으로 보인다.	 이번 사건은 5월25일 미네소타주 미니애폴리스에서 백인 경찰관이 흑인 남성 조지 플로이드를 숨지게 한 이후 석달 동안 '흑인 목숨도 소중하다' 시위가 이어지는 가운데 벌어져 파장이 크다.	 블레이크에 대한 경찰 총격에 항의하는 시위 사태는 위스콘신주 커노샤를 넘어 뉴욕, 로스앤젤레스, 샌디에이고, 포틀랜드 등 미 전역의 주요 도시들로 확대되고 있다.	 이번 사건은 재집권을 노리는 트럼프 대통령에 부정적인 영향을 미칠 전망이다.	 앞서 플로이드 사건 이후 트럼프 대통령의 지지율은 크게 떨어진 바 있다.	 당시 유권자들은 트럼프 대통령이 인종차별로 촉발된 사태를 제대로 처리하지 못하고 있다고 판단했다.	  이에 몬머스대학은 5월 28일∼6월 1일 성인 807명을 대상으로 전화 설문조사를 진행한 결과 52%가 바이든 전 부통령을, 41%가 트럼프 대통령을 선호한다고 답했다.	 3월 조사에서는 48% 대 45%, 4월 조사에서는 48%대 44%, 5월 조사에서는 50%대 41%로 바이든 전 부통령이 트럼프 대통령을 앞서왔다.	 이번 사태를 둘러싼 민주당과 공화당의 입장 차이는 이미 드러나기 시작했다.	 조 바이든 민주당 대선 후보는 “총격이 미국 영혼을 관통했다”며 즉각적인 진상조사를 요구하고 나섰다.	 반면 공화당과 경찰 노조는 섣부른 판단을 경계하며 폭력 시위를 비난했다.	 짐 스타이네케 주의회 공화당 대표는 “폭력을 점화하는 정치인의 말과 행동이 시위대의 분노를 촉발해선 안 된다”고 밝혔다.	 피터 디테스 경찰노조위원장도 주지사의 성명에 대해 “전적으로 무책임하다”고 비난했다.	 백인 비율이 높은 ‘러스트벨트’인 위스콘신주는 ‘주지사 민주당, 주의회 공화당’으로 세력이 팽팽한 경합주인 만큼 향후 사건 처리가 대선의 주요 변곡점이 될 것으로 전망된다."
"檢, ""압수한 마스크, 시중 유통 위해 신속 환부하라""","대검찰청이 신종 코로나바이러스 감염증 확산과 관련해 압수수색 과정에서 입수한 마스크는 시중 유통을 위해 신속히 환부하라는 지시를 내렸다.3일 법조계 등에 따르면 대검은 전날 업무연락을 통해 중대 사건에서 불가피하게 압수수색을 하는 경우 마스크 등 방호장비를 반드시 착용할 것을 일선 검찰청에 지시했다.	아울러 마스크 매점매석에 대한 단속을 벌이거나 관내 경찰의 마스크 매점매석 단속 사건을 지휘할 경우 입증 정도 등을 고려해 가급적 마스크의 압수를 지양할 것을 권고했다.	 또 압수한 마스크는 시중에 유통될 수 있도록 신속히 환부하라고 전국 검찰에 지시했다.	대검에 따르면 코로나19 관련 사건은 증가하는 추세를 보이고 있다.	 지난달 26일 기준으로 검찰에서 관리하는 관련 사건은 총 16건이었다.	 관련 사건에는 허위사실 유포 등 업무방해, 확진자 자료 유출 등 개인정보보호법위반 등, 마스크 대금 편취 등 사기 범행 등이 있다.	지난달 28일에는 관련 사건이 48건으로 늘었고, 전날 기준으로는 총 73건으로 증가했다.	 허위사실 유포 17건, 자료 유출 9건, 허위신고 및 격리거부 등 7건, 마스크 대금 편취 37건 및 매점매석 3건 등이다."
"CU, 달릴 때도! 멈출 때도! 여기 좀 봐주세요","BGF리테일이 경찰청과 함께 전국 임직원용 법인차량을 움직이는 아동보호 광고판으로 활용하는 공익 캠페인을 전개한다.	BGF리테일은 지난해 7월 업계 최초로 CU 임직원용 법인차량 지원제도를 도입하고 서울, 경기, 부산, 대구, 전남 등 전국에서 200여 대의 법인차량을 운영하고 있다.	CU 법인차량은 사전 신청을 통해 지급되는 개인용 법인차량과 BGF리테일 임직원이면 누구나 업무 중 차량이 필요할 때 앱으로 예약해 원하는 시간만큼 쓸 수 있는 공용 법인차량으로 운영된다.	CU는 이들 법인차량 중 공용 법인차량에 아동 실종∙학대 예방 캠페인인 ‘아이CU’의 홍보 배너를 랩핑하여 아동보호에 대한 전국민의 관심을 높인다."
"[단독]민노총 건설노조 월 3만원 ""상납금 VS 조합비"" 공방","경기 고양·파주지역 건설현장에서 일부 노동자가 노조의 상납금 강요를 폭로하며 갈등을 빚고 있다.	 반면 노조는 정당한 노조활동에 대한 가입비 명목이라고 주장했다.10일 건설업계에 따르면 노동자 A씨는 2017년 이후 민주노총 산하 전국건설노조의 조합원비로 한달 3만원을 납부했지만 이것이 노조 간부의 개인적인 착복과 비리라고 주장했다.	전국건설노조 수도권북부지역본부 서울건설지부 산하 고양파주지역 조합원이던 A씨는 일대 모든 현장의 조합원이 조식과 중식을 해결하던 외부 식당을 강제사용하고 부당한 관리비를 냈다고 밝혔다.	 철근팀 총괄팀장인 Y씨가 일명 관리비 명목으로 모든 조합원에게 매달 월급 다음날에 3만원을 강제납부받고 2만원은 노조에, 1만원은 특활비로 관리자에게 개별입금했다는 것이다.	A씨에 따르면 Y팀장은 조합원의 고정 식사를 빌미로 외부 식당에서도 상납금을 받았다.	 조합원 식대는 각 현장의 사용자가 지불하는데 정확한 관리가 이뤄지지 않음을 노려 팀장들이 개인적으로 착복한다는 것이다.	 그는 인근 현장의 조합원수가 ▲대방건설 현장 철근 26명, 형틀 60여명 ▲대림산업 현장 철근 24명, 형틀 90여명 ▲신동아건설 현장 철근 10명, 형틀 40여명 등으로 고정 식사비용을 합하면 상당한 규모가 된다고 추정했다.	Y팀장은 2018년 9월경 내부고발로 감사를 받아 각 팀장들에게 매달 70만원씩 정기적으로 상납받은 사실이 발각돼 징계를 받았음에도 이런 일이 지속되고 있다는 게 A씨의 주장이다.	지난해 7월에는 우미건설 현장 하도급업체 관리자인 소장들에게 상납을 요구했다가 거절당하자 본인이 속한 철근팀 10명을 바로 옆 대우건설 현장으로 옮길 것을 명령, “파주에서 나한테 밉보이고 공사해먹을 수 있을 것 같아.	 여기 이 사람들 빼고 아예 감자들로 교체해 엿을 먹여줄 테니 각오해”라는 폭언도 했다.	A씨의 이런 주장에 대해 노조는 조합원이 일반적으로 납부하는 조합비라고 설명했다.	 A씨가 일자리를 잃은 데 앙심을 품고 근거없는 비방을 한다는 것이다.	 문승진 전국건설노조 수도권북부지역본부 사무국장은 ""합리적 의심이 아닌 근거없는 비방으로 허위사실 유포와 명예훼손에 해당한다.	 노조규약에 따라 조치를 검토할 것""이라고 말했다.	한편 지난해엔 서울·인천·경기지역에 건설노조가 이권을 노리고 우후죽순 생겨나 경찰이 수사에 나선 바 있다.	 건설업체들이 노조의 관리자급 임원에게 ‘전임비’를 지급, 영세업체의 피해를 키운다는 지적도 제기됐다."
"정총리 ""민노총, 집회 철회해달라… 방역조치 위반 시 엄정조치""(상보)","정세균 국무총리가 25일 전국민주노동조합총연맹이 총파업 강행의 뜻을 밝힌 것을 두고 ""수능시험을 목전에 둔 수험생과 학부모의 절박한 심정을 헤아려서라도 예정된 집회를 즉시 철회해달라""고 호소했다.	 정 총리는 이날 오전 정부서울청사에서 신종 코로나바이러스 감염증 대응 중앙재난안전대책본부 회의를 주재하고 이같이 밝혔다.	민주노총은 이날부터 '노동개악 저지와 전태일 3법 입법 촉구'를 위한 총파업에 돌입한다고 밝혔다.	 수도권 사회적 거리두기가 2단계로 격상됨에 따라 대규모 집회 대신 9인 이하 집회 형식으로 진행하기로 했으나 감염 우려는 여전히 큰 상황이다.	 그는 ""방역 수칙을 준수하겠다고 하지만 최근 코로나19 기세를 고려할 때 매우 우려스럽다""며 ""경찰청과 각 지자체는 집회 과정에서 방역수칙 위반사례가 발생하지 않도록 현장상황 관리를 철저히 하고 위반행위에 대해 법과 원칙에 따라 엄정하게 조치하라""고 주문했다."
"문체위 청문회, 故 최숙현 사건 질타… ""체육계는 폭력 바퀴벌레""","여야가 고 최숙현 트라이애슬론 선수 사건의 진상규명을 위해 진행된 국회 문화체육관광위원회 청문회에서 사건 대응에 실패한 관련 기관을 질타했다.	문체위는 22일 국회에서 '철인 3종경기 선수 가혹행위 및 체육분야 인권침해에 대한 청문회'를 진행했다.	문체위가 지난 21일 동행명령을 의결한 김규봉 전 경주시청 트라이애슬론팀 감독과 전 운동처방사 안주현씨, 장윤정 선수는 불출석했다.	 도종환 위원장은 ""김 전 감독과 안씨는 거부 의사를 밝혔고 나머지 3명은 오겠다고 했다""며 "" 양당 간사와 협의해 추후 조치 방안을 결정하겠다""고 말했다.	여야 의원들은 체육계와 문화체육관광부 등의 미흡한 대처를 강하게 비판했다.	임오경 민주당 의원은 ""김 전 감독과 안씨의 관계를 보면 영화 '기생충' 대사가 떠오른다""며 '너는 다 계획이 있었구나' '당신은 바퀴벌레야 불이 켜지면 다 숨어버리는' 둘 관계는 체육계 어디에서도 찾아볼 수 없는 폭력적 기생관계이면서 미스테리""라고 언급했다.	이어 ""둘은 어떤 계획이 있었나.	 체육계가 폭력이란 바퀴벌레를 확실히 박멸시켜달라""고 강조했다.	같은 당 이병훈 의원은 ""대한체육회는 지난해 대국민 사과를 하면서 체육계 폭력 행위를 뿌리 뽑겠다고 했다.	 지난 6일 상임위 현안 질의 때도 끝까지 추적하겠다고 했다""며 ""그런데 공문을 보면 진행 중인 사건에 관심이 없다""고 지적했다.	배현진 통합당 의원은 ""국가인권위원회에서 2019년 스포츠인권특별조사단을 출범했다.	 조사 창구를 일원화하고 피해자를 지원하겠다고 했다""며 ""최 선수는 인권위을 비롯해 경찰, 체육계, 경주시청 등 다양한 기관에 진정을 넣었다.	 인권위가 조사단을 만든 취지에 부합하지 못했다""고 질타했다.	윤상현 무소속 의원은 ""피해자가 김 전 감독, 장 선수를 지목하는데 안씨 한 명으로 몰아간다.	 체육계가 피해자를 보호하지 않고 오히려 가해자를 보호하고 방조했다""며 ""경주시체육회가 피해자의 호소보다 가해자의 영향력에 놀아나고 있다""고 강조했다."
부천서 고속버스 중앙분리대 충돌… 1명 사망·4명 부상,22일 오전 8시30분 경기 부천시 오정동 경인고속도로 인천방향 21.1㎞ 지점 부천IC 부근에서 광역버스가 중앙분리대를 들이 받았다.	이 사고로 40대 버스운전자 A씨가 크게 다쳐 병원으로 이송됐으나 숨졌다.	 또 버스 승객 4명이 부상을 입어 인근 병원에서 치료를 받고 있다.	경찰은 “버스회사에 블랙박스 영상을 요청하는 한편 목격자를 중심으로 정확한 사고경위를 조사할 것”이라고 밝혔다.
"""총성 내며 폭주""… 車 불법개조·폭주레이싱 집중단속","자동차 불법개조와 폭주레이싱 등을 대상으로 2개월 동안 집중 단속이 진행된다.	 1일 경찰청에 따르면 경찰은 이달 2일부터 12월 31일까지 각 지방청 교통범죄수사팀 주관으로 자동차 불법개조·폭주레이싱 행위, 속도제한 장치 불법 해체 행위, 난폭·보복 운전 행위를 단속하기로 했다.	 최근 '판스프링' 같은 적재함 불법개조, 속도제한 장치 해체 차량 등으로 대형 교통사고 발생 가능성이 큰 상황이다.	 불법개조 차량을 이용한 폭주레이싱, 난폭·보복 운전 행위도 국민 교통안전을 위협하고 있다.	경찰은 이 같은 불법 행위를 단속한 후 지방자치단체를 비롯한 관계기관과 협조해 불법개조 차량을 원상 복구하고, 정비 업체에는 영업 정지를 요청할 계획이다.	 실효적인 제재 방안을 활용해 불법행위 의지를 원천적으로 차단한다는 방침이다.	 경찰 관계자는 ""이번 집중단속 기간 자동차 불법개조 및 속도제한 장치 불법 해체 행위와 관련해 차량 운전자뿐만 아니라 제작‧정비 업체까지 적극적으로 추적해 엄정하게 대응할 것""이라고 말했다."
"광주 남구, 발달장애인 실종 예방 ""위치알리미 보급 사업"" 추진","광주=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
대구서 육군 숨진 채 발견‧‧‧ 경찰 “극단적 선택 추정돼”,"육군 모 부대 소속의 A일병이 대구의 한 건물 주차장에서 숨진 채 발견돼 군 당국과 경찰이 수사에 나섰다.9일 대구 남부경찰서에 따르면 지난 8일 오전 6시25분쯤 대구 남구 대명동의 한 건물 주차장 바닥에 A일병이 군복을 입은 채 쓰러져 있는 것을 행인이 발견해 소방당국에 신고했다.	그러나 구급대원이 현장에 도착했을 때 A일병은 이미 숨을 거둔 상태였다.	경찰과 군 당국에 따르면 숨진 A일병은 휴가를 나간 뒤 복귀 예정일인 지난 7일까지 부대로 돌아오지 않아 군 관계기관이 찾던 중이었다.	경찰 관계자는 ""극단적 선택을 한 것으로 추정된다""며 ""유서는 발견되지 않았고 관련 내용은 군 당국에서 면밀히 조사하고 있다""고 말했다."
"""한국 6월 항쟁처럼""… 태국 시위대, 한글로 지지 호소","총리 퇴진과 군주제 개혁을 요구하는 집회가 태국에서 3개월 넘게 이어지고 있다.	 반정부 시위대는 소셜 미디어를 통해 전 세계에 지지를 호소하는 가운데 한국의 6월 항쟁을 언급한 한국어 포스터가 등장해 눈길을 끌고 있다.	  AFP·로이터통신에 따르면 시위자들은 18일 방콕 번화가 곳곳에 모여 쁘라윳 짠오차 총리의 퇴진과 왕실 개혁을 요구하는 목소리를 냈다.	 이들은 비를 맞으면서도 독재에 반대한다는 뜻이 담긴 '세 손가락 경례' 포즈를 취했다.	 태국 정부는 지난 15일부터 5인 이상의 집회를 금지하고 있지만 이들은 아랑곳하지 않고 나흘째 시위를 벌이는 모습이다.	 이날 태국 경찰은 방콕 내 대부분의 지하철역을 폐쇄하고, 시위대에 물대포를 쏴 해산을 시도했다.	 시위대는 소셜미디어를 통해 여러 지점을 옮겨다니며 경찰과의 충돌을 피하려 시도했다.	 최근 태국 시위대는 국제사회의 지지를 얻기 위해 한국어를 포함한 여러 언어로 시위의 정당성을 알리고 있다.	 이들은 한국어 호소문에 ""1987년 한국의 6월 민주 항쟁과 같이 2020년 태국에서 민주화 운동이 다시 시작됐다""는 표현을 담았다.	 그러면서 ""우리의 외침이 더 널리 울려퍼질 수 있도록 지구촌 시민 여러분들의 지지가 간절하다""며 강조했다.	남성 아이돌그룹 2PM의 태국 출신 멤버 닉쿤 또한 시위를 강경 진압하고 있는 태국 경찰을 비판하는 듯한 글을 SNS에 올려 시선을 모았다.	 닉쿤은 자신의 트위터에 ""폭력 사용은 수수방관할 수 있는 게 아니다.	 폭력은 어떤 도움도 되지 않는다.	 모두 몸 조심하고 잘 지내길 바란다""는 글을 게재했다.	 반정부 시위를 지지하는 태국 트위터 이용자들은 이 메시지를 크게 환영했다.	 태국에서는 쁘라윳 총리 퇴진과 왕실 개혁을 요구하는 시위가 올해 7월부터 3개월 넘게 이어지고 있다.	 정부가 5명 이상 집회를 금지하고 통상적인 절차 없이 체포할 수 있는 비상조치를 발동한 이후에도 시위는 계속 격화되고 있다."
"경기도교육청, 채용비리 연루 학교법인 감사 착수","경기=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""배터리업계 잘 나가나했더니…"" LG화학-SK이노 ""자중지란""","    <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
